model,subject,fold,score
cogmodel,paula,0,0.24736223145868708
nonmodel,paula,0,0.05508138747188538
cogmodel,paula,1,0.19753864544133867
nonmodel,paula,1,0.11551278228713709
cogmodel,paula,2,0.22072312353397658
nonmodel,paula,2,0.16767145415178583
cogmodel,paula,3,0.4586046886509388
nonmodel,paula,3,0.2653141467209796
cogmodel,paula,4,0.20417150488502325
nonmodel,paula,4,0.09757991778291458
cogmodel,paula,0,0.3226590729959994
nonmodel,paula,0,0.03805547043771136
cogmodel,paula,1,0.3020917451061097
nonmodel,paula,1,0.26774841343336253
cogmodel,paula,2,0.3406717901610518
nonmodel,paula,2,0.264728248715707
cogmodel,paula,3,0.4282844668780775
nonmodel,paula,3,0.407987285981131
cogmodel,paula,4,0.17230283838394134
nonmodel,paula,4,0.1723028383839413
cogmodel,rex,0,0.3422481347942854
nonmodel,rex,0,0.2863646250532767
cogmodel,rex,1,0.027248062764761615
nonmodel,rex,1,-0.01729794110805062
cogmodel,rex,2,0.17005008231765642
nonmodel,rex,2,0.12494274962439951
cogmodel,rex,3,0.21547557985067375
nonmodel,rex,3,0.13258034862170412
cogmodel,rex,4,0.22876658224771043
nonmodel,rex,4,0.21750068450497684
cogmodel,rex,0,0.2298603424257291
nonmodel,rex,0,0.19665945546027713
cogmodel,rex,1,0.2505899718503769
nonmodel,rex,1,0.24633523633589666
cogmodel,rex,2,0.226798327850554
nonmodel,rex,2,0.22637982927535924
cogmodel,rex,3,0.31539486782637877
nonmodel,rex,3,0.1803449860039342
cogmodel,rex,4,0.30415081449905457
nonmodel,rex,4,0.24607716221452655
